         61553 function calls (60774 primitive calls) in 58.221 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2473   26.027    0.011   26.027    0.011 {built-in method time.sleep}
      392   11.540    0.029   11.540    0.029 {built-in method pyaudio._portaudio.read_stream}
      193    9.178    0.048    9.178    0.048 {method 'read' of '_ssl._SSLSocket' objects}
        5    8.735    1.747    8.737    1.747 C:\Users\zas47\anaconda3\lib\site-packages\pvcheetah\_cheetah.py:100(__init__)
       10    1.198    0.120    1.198    0.120 {built-in method pygame.mixer.quit}
      392    0.473    0.001    0.476    0.001 C:\Users\zas47\anaconda3\lib\site-packages\pvcheetah\_cheetah.py:170(process)
        5    0.247    0.049    0.247    0.049 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        5    0.211    0.042    0.211    0.042 {method 'connect' of '_socket.socket' objects}
        4    0.151    0.038    0.151    0.038 {built-in method pyaudio._portaudio.initialize}
       10    0.143    0.014    0.143    0.014 {built-in method pygame.mixer.init}
        5    0.088    0.018    0.088    0.018 {built-in method _socket.getaddrinfo}
        4    0.039    0.010    0.039    0.010 {built-in method pyaudio._portaudio.open}
        4    0.036    0.009    0.036    0.009 {built-in method pyaudio._portaudio.stop_stream}
        5    0.036    0.007    0.036    0.007 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
       10    0.011    0.001   27.385    2.739 D:\GitHub Repos\salespro\main.py:51(play_mp3_chunk)
       57    0.009    0.000    0.009    0.000 {built-in method builtins.print}
        1    0.007    0.007   56.408   56.408 D:\GitHub Repos\salespro\main.py:151(main)
     2483    0.006    0.000    0.006    0.000 {built-in method pygame.mixer_music.get_busy}
      784    0.005    0.000    0.005    0.000 {built-in method numpy.frombuffer}
        1    0.004    0.004    0.004    0.004 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.004    0.004    0.004    0.004 {built-in method _winapi.CreateProcess}
     99/6    0.004    0.000    0.004    0.001 C:\Users\zas47\anaconda3\lib\string.py:169(_vformat)
        4    0.003    0.001    0.003    0.001 {built-in method pyaudio._portaudio.close}
        8    0.003    0.000    0.004    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\response.py:281(release_conn)
      392    0.003    0.000    0.481    0.001 D:\GitHub Repos\salespro\main.py:141(transcribe_audio_stream_using_cheetah)
       74    0.003    0.000    0.003    0.000 {built-in method nt.stat}
      518    0.002    0.000    0.003    0.000 C:\Users\zas47\anaconda3\lib\enum.py:359(__call__)
      149    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FFE0BE0AD50}
      392    0.001    0.000   11.542    0.029 C:\Users\zas47\anaconda3\lib\site-packages\pyaudio\__init__.py:553(read)
        6    0.001    0.000    0.001    0.000 {built-in method io.open_code}
      518    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\enum.py:678(__new__)
       52    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\util\url.py:210(_encode_invalid_chars)
        1    0.001    0.001    0.001    0.001 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_channel.py:1633(__init__)
       14    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
4286/4277    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     3856    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
       22    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\langchain\load\serializable.py:60(__init__)
        5    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
       10    0.001    0.000    0.001    0.000 {built-in method pygame.mixer_music.load}
       16    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\urllib\request.py:2487(getproxies_environment)
       16    0.001    0.000    0.001    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        8    0.000    0.000    0.000    0.000 {built-in method _brotli.BrotliDecoderDecompressStream}
     1951    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      126    0.000    0.000    0.057    0.000 {method 'read' of '_io.BufferedReader' objects}
      395    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
   134/17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.000    0.000 {method 'close' of 'grpc._cython.cygrpc.Channel' objects}
        6    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        4    0.000    0.000   32.234    8.059 D:\GitHub Repos\salespro\main.py:65(play_agent_response)
      193    0.000    0.000    9.179    0.048 C:\Users\zas47\anaconda3\lib\ssl.py:1263(recv_into)
      481    0.000    0.000    0.000    0.000 {built-in method time.time}
       20    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\json\encoder.py:204(iterencode)
      400    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\requests\structures.py:46(__setitem__)
      193    0.000    0.000    9.179    0.048 C:\Users\zas47\anaconda3\lib\socket.py:691(readinto)
      789    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
     1744    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\os.py:698(__iter__)
        4    0.000    0.000    0.000    0.000 {built-in method pyaudio._portaudio.start_stream}
       24    0.000    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\util\url.py:333(parse_url)
       68    0.000    0.000    0.446    0.007 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\response.py:753(_update_chunk_length)
       69    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\_collections_abc.py:991(update)
        1    0.000    0.000    0.000    0.000 {built-in method _winapi.WaitForSingleObject}
       68    0.000    0.000    0.508    0.007 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\response.py:789(read_chunked)
     2698    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      232    0.000    0.000    9.123    0.039 {method 'readline' of '_io.BufferedReader' objects}
