         364125 function calls (356761 primitive calls) in 13.916 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      396    6.381    0.016    6.381    0.016 {method 'acquire' of '_thread.lock' objects}
       29    3.226    0.111    3.226    0.111 {method 'read' of '_ssl._SSLSocket' objects}
     2412    2.062    0.001    2.062    0.001 {method 'flush' of '_io.BufferedWriter' objects}
        5    1.632    0.326    1.632    0.326 {built-in method _winapi.WaitForSingleObject}
        2    0.098    0.049    0.098    0.049 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     2414    0.098    0.000    0.098    0.000 {method 'write' of '_io.BufferedWriter' objects}
        2    0.091    0.046    0.091    0.046 {method 'connect' of '_socket.socket' objects}
       16    0.035    0.002    0.111    0.007 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:1001(parseopt_notrack)
        1    0.034    0.034    0.040    0.040 C:\Users\zas47\anaconda3\lib\site-packages\soundcard\mediafoundation.py:485(__init__)
        2    0.022    0.011    0.022    0.011 {built-in method _socket.getaddrinfo}
        5    0.017    0.003    0.017    0.003 {built-in method _winapi.CreateProcess}
        2    0.015    0.007    0.015    0.007 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      766    0.013    0.000    0.013    0.000 {built-in method nt.stat}
     4425    0.012    0.000    0.027    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\lex.py:305(token)
        1    0.011    0.011    3.789    3.789 C:\Users\zas47\anaconda3\lib\site-packages\elevenlabs\utils.py:41(stream)
    15677    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
        3    0.007    0.002    0.007    0.002 {method 'read' of '_io.TextIOWrapper' objects}
    21037    0.006    0.000    0.007    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:240(__getitem__)
  500/107    0.005    0.000    0.011    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:494(_parse)
       27    0.004    0.000    0.004    0.000 {built-in method io.open_code}
      951    0.004    0.000    0.011    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:368(_build_declarations)
    43782    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
        1    0.004    0.004    0.004    0.004 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\yacctab.py:1(<module>)
    56001    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
       27    0.003    0.000    0.003    0.000 {built-in method builtins.print}
       27    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
        8    0.003    0.000    0.003    0.000 C:\Users\zas47\anaconda3\lib\site-packages\soundcard\mediafoundation.py:100(release)
        1    0.003    0.003    0.009    0.009 C:\Users\zas47\anaconda3\lib\site-packages\soundcard\mediafoundation.py:698(__enter__)
    16264    0.003    0.000    0.003    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:248(__setitem__)
     2223    0.003    0.000    0.007    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\plyparser.py:55(_token_coord)
    28160    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
   714/32    0.002    0.000    0.005    0.000 C:\Users\zas47\anaconda3\lib\sre_compile.py:87(_compile)
       73    0.002    0.000    0.002    0.000 {method 'operate' of 'grpc._cython.cygrpc.IntegratedCall' objects}
     1000    0.002    0.000    0.003    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:299(_fix_decl_name_type)
     4425    0.002    0.000    0.029    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_lexer.py:75(token)
      984    0.002    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ast_transforms.py:140(_fix_atomic_specifiers_once)
        1    0.002    0.002    0.019    0.019 C:\Users\zas47\anaconda3\lib\site-packages\soundcard\mediafoundation.py:402(_audio_client)
        1    0.002    0.002    0.012    0.012 C:\Users\zas47\anaconda3\lib\site-packages\soundcard\mediafoundation.py:258(default_device)
     2895    0.002    0.000    0.003    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_lexer.py:545(t_ID)
15106/12087    0.001    0.000    0.002    0.000 {built-in method builtins.len}
        2    0.001    0.001    0.029    0.015 C:\Users\zas47\anaconda3\lib\site-packages\soundcard\mediafoundation.py:208(__init__)
     4220    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:234(__next)
     2223    0.001    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\plyparser.py:49(_coord)
     1248    0.001    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\ntpath.py:150(splitdrive)
      984    0.001    0.000    0.005    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1161(p_direct_xxx_declarator_1)
      160    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
    10427    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      170    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFDCAB8AD50}
       98    0.001    0.000    0.014    0.000 {method 'read' of '_io.BufferedReader' objects}
   561/83    0.001    0.000    0.015    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:597(_get_type_and_quals)
      133    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
      621    0.001    0.000    0.003    0.000 C:\Users\zas47\anaconda3\lib\ntpath.py:103(join)
      221    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     4446    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:268(lexpos)
     1846    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:343(_add_declaration_specifier)
  938/285    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:175(getwidth)
