         341544 function calls (334336 primitive calls) in 17.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      435    7.805    0.018    7.805    0.018 {method 'acquire' of '_thread.lock' objects}
      353    5.546    0.016    5.546    0.016 {built-in method time.sleep}
        2    3.269    1.635    3.269    1.635 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.105    0.105    0.105    0.105 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_channel.py:1465(__init__)
        1    0.099    0.099    0.099    0.099 {built-in method _socket.getaddrinfo}
        1    0.049    0.049    0.049    0.049 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.043    0.043    0.043    0.043 {method 'connect' of '_socket.socket' objects}
       16    0.035    0.002    0.109    0.007 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:1001(parseopt_notrack)
        1    0.034    0.034    0.039    0.039 C:\Users\zas47\anaconda3\lib\site-packages\soundcard\mediafoundation.py:485(__init__)
     4425    0.012    0.000    0.027    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\lex.py:305(token)
    15610    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
        3    0.008    0.003    0.008    0.003 {method 'read' of '_io.TextIOWrapper' objects}
        2    0.008    0.004    0.008    0.004 {built-in method _winapi.CreateProcess}
        1    0.007    0.007    0.007    0.007 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    21037    0.005    0.000    0.007    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:240(__getitem__)
       27    0.005    0.000    0.005    0.000 {built-in method io.open_code}
      154    0.004    0.000    0.004    0.000 {built-in method nt.stat}
  476/101    0.004    0.000    0.010    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:494(_parse)
      951    0.004    0.000    0.010    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:368(_build_declarations)
       32    0.003    0.000    0.003    0.000 {built-in method builtins.print}
    41280    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
       27    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
    55193    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        1    0.003    0.003    0.003    0.003 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\yacctab.py:1(<module>)
        1    0.003    0.003    0.009    0.009 C:\Users\zas47\anaconda3\lib\site-packages\soundcard\mediafoundation.py:698(__enter__)
    16264    0.003    0.000    0.003    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:248(__setitem__)
